abandon,porzucić
any,każdy
anybody,ktoś
anyone,ktoś
anything,byle co
anyway,tak czy siak
anywhere,gdziekolwiek
apart,niezależnie
apart from,oprócz
apartment,apartament
apologize,przepraszać
apparent,pozorny
apparently,widocznie
appeal,apel
appear,zjawić się
appearance,wygląd
apple,jabłko
application,podanie
apply,zastosować
appoint,wyznaczać
appointment,spotkanie
appreciate,doceniać
approach,podejście
appropriate,właściwy
approval,zatwierdzenie
approve,zatwierdzać
approving,pochlebny
approximate,przybliżony
approximately,w przybliżeniu
April,kwiecień
area,powierzchnia
argue,kłócić się
argument,argument
arise,powstać
arm,ramię
armed,uzbrojony
arms,ramiona
army,armia
around,na około
arrange,zorganizować
arrangement,układ
arrest,aresztować
arrival,przyjazd
arrive,przybyć
arrive at,dotrze o
arrow,strzałka
art,sztuka
article,artykuł
artificial,sztuczny
artificially,sztucznie
artist,artysta
artistic,artystyczny
artistically,artystycznie
as,tak jak
ashamed,zawstydzony
aside,na bok
aside from,oprócz
ask,zapytać
asleep,we śnie
aspect,aspekt
assist,wspierać
assistance,wsparcie
assistant,asystent
associate,współpracownik
associated,powiązany
association,stowarzyszenie
assume,założyć
assure,gwarantować
at,w
atmosphere,atmosfera
atom,atom
attach,dołączać
attached,przywiązany
attack,atak
attempt,próba
attempted,próba
attend,brać udział w
attend to,uczęszczać na
attention,Uwaga
attitude,nastawienie
attorney,adwokat
attract,pociągać
attraction,atrakcja
attractive,atrakcyjny
audience,publiczność
August,sierpień
aunt,ciotka
author,autor
authority,autorytet
automatic,automatyczny
automatically,automatycznie
autumn,jesień
available,dostępny
average,średni
avoid,uniknąć
awake,obudzić
award,nagroda
aware,świadomy
away,z dala
awful,straszny
awfully,strasznie
awkward,niezręczny
awkwardly,niezgrabnie
baby,dziecko
back,plecy
background,tło
back up,utworzyć kopię zapasową
backward,do tyłu
backwards,wstecz
bacteria,bakteria
bad,zły
badly,źle
bad-tempered,gderliwy
bag,torba
baggage,bagaż
bake,piec
balance,saldo
ball,piłka
ban,zakaz
band,zespół muzyczny
bandage,bandaż
bank,bank
bar,bar
bargain,okazja
barrier,bariera
base,baza
based,na podstawie
base on,baza na
basic,podstawowy
basically,gruntownie
basis,podstawa
bath,kąpiel
bathroom,łazienka
battery,bateria
battle,bitwa
bay,zatoka
be,być
beach,plaża
beak,dziób
bear,Niedźwiedź
beard,broda
beat,bić
beat up,naganiać
beautiful,piękny
beautifully,estetycznie
beauty,piękno
because,bo
because of,z powodu
become,zostać
bed,łóżko
bedroom,sypialnia
beef,wołowina
beer,piwo
before,przed
begin,zaczynać
beginning,początek
behalf,imieniu
behave,zachowywać się
behaviour,zachowanie
behind,za
be left over,pozostawić na
belief,wiara
believe,uwierzyć
believe in,wierzyć w
bell,dzwon
belong,należeć
belong to,należeć do
below,poniżej
belt,pas
bend,zakręt
beneath,pod
benefit,zasiłek
bent,zgięty
beside,oprócz
best,Najlepsza
bet,Zakład
better,lepszy
betting,zakłady
between,pomiędzy
beyond,poza
bicycle,rower
bid,licytować
big,duży
bike,rower
bill,rachunek
billion,miliard
bin,kosz
biology,biologia
bird,ptak
birth,narodziny
birthday,urodziny
biscuit,Herbatnik
bit,kawałek
bite,gryźć
bitter,gorzki
bitterly,gorzko
black,czarny
blade,nóż
blame,winić
blank,pusty
blind,ślepy
block,blok
blonde,blond
blood,krew
blow,cios
blow out,zdmuchnąć
blow up,wysadzić w powietrze
blue,niebieski
board,tablica
boat,łódź
body,ciało
boil,gotować
bomb,bomba
bone,kość
book,książka
boot,bagażnik
border,granica
bore,nudziarz
bored,znudzony
boring,nudny
born,urodzony
borrow,pożyczać
boss,szef
both,obie
bother,zawracać głowę
bottle,butelka
bottom,Dolny
bound,uwiązany
bowl,miska
box,pudełko
boy,chłopak
boyfriend,chłopak
brain,mózg
branch,Oddział
brand,Marka
brave,odważny
bread,chleb
break,przerwa
break down,awaria
breakfast,śniadanie
break in,włamać się
break into,włamać się do
break off,zerwać
break out,uciec
break up,zerwać
breast,pierś
breath,oddech
breathe,oddychać
breathe in,wdychać
breathe out,wydychać
breathing,oddechowy
breed,rasa
brick,cegła
bridge,most
brief,krótki
briefly,krótko
bright,jasny
brightly,jaskrawo
brilliant,znakomity
bring,przynieść
bring back,przynieść z powrotem
bring down,obniżać
bring forward,przenieść
bring out,wynieść
bring up,wychować
broad,szeroki
broadcast,nadawanie
broadly,rozłożysto
broken,złamany
brother,brat
brown,brązowy
brush,szczotka
bubble,bańka
budget,budżet
build,budować
building,budynek
build up,tworzyć
bullet,pocisk
bunch,wiązka
burn,palić się
burn down,spalić
burnt,spalony
burst,rozerwanie
burst into,wybuchnęła
burst out,wybuchnął
bury,pogrzebać
bus,autobus
bush,krzak
business,biznes
businessman,biznesmen
busy,zajęty
but,ale
butter,masło
button,przycisk
buy,Kup
buyer,kupujący
by,przez
bye,PA
cabinet,gabinet
cable,kabel
cake,ciasto
calculate,Oblicz
calculation,obliczenie
call,połączenie
call back,oddzwonić
called,nazywa
call for,zadzwonić po
call off,odwołać
call up,mobilizować
calm,spokojna
calm down,uspokój się
calmly,spokojnie
camera,aparat fotograficzny
camp,obóz
campaign,kampania
camping,kemping
can,puszka
cancel,anuluj
cancer,nowotwór
candidate,kandydat
candy,cukierek
cannot,nie mogę
cap,czapka
capable,zdolny
capacity,pojemność
capital,kapitał
captain,kapitan
capture,zdobyć
car,samochód
card,karta
cardboard,karton
care,opieka
career,kariera
care for,opiekować się
careful,ostrożny
carefully,ostrożnie
careless,niedbały
carelessly,nędznie
carpet,wykładzina podłogowa
carrot,marchewka
carry,nieść
carry on,kontynuować
carry out,wykonać
case,walizka
cash,gotówkowy
cast,odlew
castle,zamek
cat,kot
catch,złapać
catch up,dogonić
category,Kategoria
cause,przyczyna
CD,Płyta CD
cease,zaprzestać
ceiling,sufit
celebrate,świętować
celebration,uroczystość
cell,komórka
cell phone,komórka
cent,cent
centimetre,centymetr
central,centralny
centre,centrum
century,stulecie
ceremony,ceremonia
certain,pewny
certainly,na pewno
certificate,certyfikat
chain,łańcuch
chair,krzesło
chairman,przewodniczący
chairwoman,przewodnicząca
challenge,wyzwanie
chamber,izba
chance,szansa
change,zmiana
change round,okrągły zmiana
channel,kanał
chapter,rozdział
character,postać
characteristic,charakterystyka
charge,opłata
charity,dobroczynność
chart,wykres
chase,gonić
chase away,odpędzić
chat,czat
cheap,tani
cheaply,tanio
cheat,oszukać
cheat of,oszukać z
check,czek
check in,zameldować się
check into,sprawdzić w
check on,sprawdzić
check out,sprawdzić
check over,sprawdź na
check up on,sprawdzać
cheek,policzek
cheerful,wesoły
cheerfully,wesoło
cheese,ser
chemical,chemiczny
chemist,chemik
chemistry,chemia
cheque,czek
chest,klatka piersiowa
chew,żuć
chicken,kurczak
chief,szef
child,dziecko
chin,Broda
chip,żeton
chocolate,czekolada
choice,wybór
choose,wybierać
chop,posiekać
chop down,ściąć
chop off,odciąć
church,kościół
cigarette,papieros
cinema,kino
circle,okrąg
circumstance,okoliczność
citizen,obywatel
city,miasto
civil,cywilny
claim,roszczenie
clap,klaskać
class,klasa
classic,klasyczny
classroom,klasa
clean,czysty
clean up,sprzątać
clear,jasny
clearly,Wyraźnie
clear out,pozbyć się
clear up,oczyścić
clerk,urzędnik
clever,sprytny
click,kliknąć
client,klient
climate,klimat
climb,wspinać się
climbing,wspinaczka
clock,zegar
close,blisko
closed,Zamknięte
closely,dokładnie
closet,gabinet
cloth,płótno
clothes,ubranie
clothing,odzież
cloud,chmura
club,klub
coach,trener
coal,węgiel
coast,wybrzeże
coat,płaszcz
code,kod
coffee,Kawa
coin,moneta
cold,zimno
coldly,ozięble
collapse,zawalić się
colleague,współpracownik
collect,zebrać
collection,kolekcja
college,szkoła wyższa
colour,kolor
coloured,kolorowy
column,kolumna
combination,połączenie
combine,połączyć
come,chodź
come across,natknąć się
come down,uspokój się
comedy,komedia
come from,pochodzić z
come in,Wejdź
come off,puścić
come on,daj spokój
come out,wyjść
come round,dojść do siebie
come to,przyjść do
come up,wchodzić na górę
come up to,przyjść do
comfort,komfort
comfortable,wygodny
comfortably,wygodnie
command,Komenda
comment,komentarz
commercial,Reklama w telewizji
commission,komisja
commit,popełnić
commitment,zaangażowanie
committee,komisja
common,wspólny
commonly,powszechnie
communicate,porozumieć się
communication,komunikacja
community,społeczność
company,firma
compare,porównać
comparison,porównanie
compete,rywalizować
competition,konkurencja
competitive,konkurencyjny
complain,skarżyć się
complaint,skarga
complete,kompletny
completely,całkowicie
complex,złożony
complicate,komplikować
complicated,skomplikowane
computer,komputer
concentrate,skupiać się
concentrate on,skupić się na
concentration,stężenie
concept,pojęcie
concern,sprawa
concerned,zaniepokojony
concerning,o
concert,koncert
conclude,wyciągnąć wniosek
conclusion,wniosek
concrete,beton
condition,stan
conduct,przeprowadzić
conference,konferencja
confidence,pewność siebie
confident,pewni
confidently,ufnie
confine,ograniczać
confined,ograniczony
confirm,potwierdzać
conflict,konflikt
confront,konfrontować
confuse,dezorientować
confused,zmieszany
confusing,zagmatwane
confusion,zamieszanie
congratulate,pogratulować
congratulation,gratulacja
congress,kongres
connect,połączyć
connected,połączony
connection,połączenie
conscious,świadomy
consequence,skutek
conservative,konserwatywny
consider,rozważać
considerable,znaczny
considerably,wydatnie
consideration,wynagrodzenie
consist,składać się
consist of,składać się z
constant,stały
constantly,stale
construct,skonstruować
construction,budowa
consult,konsultować
consumer,konsument
contact,kontakt
contain,zawierać
container,pojemnik
contemporary,współczesny
content,zawartość
contest,zawody
context,kontekst
continent,kontynent
continue,kontyntynuj
continuous,ciągły
continuously,bez przerwy
contract,kontrakt
contrast,kontrast
contrasting,kontrastujące
contribute,przyczynić się
contribution,wkład
control,kontrola
controlled,kontrolowane
convenient,wygodna
convention,Konwencja
conventional,standardowy
conversation,rozmowa
convert,konwertować
convince,przekonać
cook,gotować
cooker,kuchenka
cookie,ciastko
cooking,gotowanie
cool,chłodny
cool down,ochłonąć
cope,sprostać
copy,Kopiuj
core,rdzeń
corner,kąt
correct,poprawny
correctly,poprawnie
cost,koszt
cottage,Chata
cotton,bawełna
cough,kaszel
coughing,kaszel
could,mógłby
council,rada
count,liczyć
counter,licznik
count on,liczyć na
country,kraj
countryside,Wieś
county,Hrabstwo
couple,para
courage,odwaga
course,kierunek
court,Sąd
cousin,kuzyn
cover,pokrywa
covered,pokryty
covering,pokrycie
cover up,ukryć
cow,krowa
crack,pęknięcie
cracked,pęknięty
craft,rzemiosło
crash,wypadek
crazy,zwariowany
cream,krem
create,Stwórz
creature,kreatura
credit,kredyt
credit card,karta kredytowa
crime,przestępstwo
criminal,kryminalista
crisis,kryzys
crisp,chrupiący
criterion,kryterium
critical,krytyczny
criticism,krytyka
criticize,krytykować
crop,przyciąć
cross,krzyż
cross out,skreślać
crowd,tłum
crowded,zatłoczony
crown,korona
crucial,istotny
cruel,okrutny
crush,zmiażdżyć
cry,płakać
cry out,krzyknąć
cultural,kulturalny
culture,kultura
cup,Puchar
cupboard,kredens
curb,krawężnik
cure,lekarstwo
curious,ciekawy
curiously,ciekawie
curl,kędzior
curl up,skulić się
curly,kręcony
current,obecny
currently,obecnie
curtain,kurtyna
curve,krzywa
curved,zakrzywiony
custom,zwyczaj
customer,klient
customs,zwyczaje
cut,skaleczenie
cut back,cofać się
cut down,wyciąć
cut off,odciąć
cut out,odetnij
cut up,posiec
cycle,cykl
cycling,Jazda rowerem
dad,tata
daily,codziennie
damage,uszkodzić
damp,wilgoć
dance,taniec
dancer,tancerz
dancing,taniec
danger,zagrożenie
dangerous,niebezpieczny
dare,odważyć się
dark,ciemny
data,dane
date,data
date back,pochodzić z
daughter,córka
day,dzień
dead,nie żyje
deaf,głuchy
deal,rozdać
deal in,czynienia w
deal with,radzić sobie z
dear,drogi
death,śmierć
debate,debata
debt,dług
decade,dekada
decay,rozkład
December,grudzień
decide,decydować się
decide on,decyzję w sprawie
decision,decyzja
declare,ogłosić
decline,upadek
decorate,udekorować
decoration,dekoracja
decorative,dekoracyjny
decrease,zmniejszać
deep,głęboki
deeply,głęboko
defeat,Pokonać
defence,obrona
defend,bronić
define,definiować
definite,określony
definitely,Zdecydowanie
definition,definicja
degree,stopień
delay,opóźnienie
deliberate,celowe
deliberately,celowo
delicate,delikatny
delight,rozkosz
delighted,zachwycony
deliver,dostarczyć
delivery,dostawa
demand,żądanie
demonstrate,wykazać
dentist,dentysta
deny,zaprzeczać
department,departament
departure,wyjazd
depend,zależeć
depend on,zależeć od
deposit,kaucja
depress,deprymować
depressed,w depresji
depressing,przygnębiający
depth,głębokość
derive,czerpać
derive from,pochodzą z
describe,opisać
description,opis
desert,pustynia
deserted,opustoszały
deserve,zasłużyć
design,projekt
desire,pragnienie
desk,biurko
desperate,rozpaczliwy
desperately,desperacko
despite,pomimo
destroy,zniszczyć
destruction,zniszczenie
detail,Szczegół
detailed,szczegółowe
determination,determinacja
determine,określać
determined,ustalona
develop,rozwijać się
development,rozwój
device,urządzenie
devote,poświęcać
devoted,oddany
devote to,poświęcać się
diagram,diagram
diamond,diament
diary,Dziennik
dictionary,słownik
die,umierać
die away,przebrzmieć
die out,wymierać
diet,dieta
difference,różnica
different,różne
differently,różnie
difficult,trudny
difficulty,trudność
dig,kopać
digital,cyfrowy
dinner,obiad
direct,bezpośredni
direction,kierunek
directly,bezpośrednio
director,dyrektor
dirt,brud
dirty,brudny
disabled,niepełnosprawny
disadvantage,niekorzyść
disagree,nie zgadzać się
disagreement,niezgoda
disagree with doing,zgadzam się z robieniem
disappear,znikać
disappoint,zawieść
disappointed,rozczarowany
disappointing,niezadowalający
disappointment,rozczarowanie
disapproval,dezaprobata
disapprove,potępiać
disapproving,krzywy
disaster,nieszczęście
disc,dysk
discipline,dyscyplina
discount,zniżka
discover,odkryć
discovery,odkrycie
discuss,omawiać
discussion,dyskusja
disease,choroba
disgust,niesmak
disgusted,oburzony
disgusting,obrzydliwy
dish,danie
dishonest,nieuczciwy
dishonestly,nieuczciwie
disk,dysk
dislike,nie lubić
dismiss,odwołać
display,pokaz
dissolve,rozpuścić
distance,dystans
distinguish,rozróżniać
distribute,rozprowadzać
distribution,dystrybucja
district,dzielnica
disturb,przeszkadzać
disturbing,zakłócając
divide,podzielić
division,podział
divorce,rozwód
divorced,rozwiedziony
do,zrobić
doctor,lekarz
document,dokument
dog,pies
dollar,dolar
domestic,krajowy
dominate,zdominować
door,drzwi
dot,kropka
double,podwójnie
doubt,wątpić
do up,zapakować
do with,zrobić z
do without,robić bez
down,na dół
downstairs,na dół
downward,zniżkowy
downwards,ku dołowi
dozen,tuzin
draft,wersja robocza
drag,opór
drama,dramat
dramatic,dramatyczny
dramatically,dramatycznie
draw,remis
drawer,szuflada
drawing,rysunek
dream,marzenie
dress,sukienka
dressed,ubrany
dress up,ubrać się
drink,drink
drive,napęd
drive away,odjechać
drive off,odjechać
driver,kierowca
driving,napędowy
drop,upuszczać
drop out,wycofać się
drug,narkotyk
drugstore,apteka
drum,bęben
drunk,pijany
dry,suchy
dry off,wysuszyć się
dry up,wyschnąć
due,z powodu
dull,nudny
dump,wysypisko
during,w trakcie
dust,kurz
duty,cło
DVD,płyta DVD
dying,umierający
each,każdy
each other,wzajemnie
ear,ucho
early,wcześnie
earn,zarabiać
earth,Ziemia
ease,łatwość
easily,z łatwością
east,Wschód
eastern,wschodni
easy,łatwo
eat,jeść
eat out,jeść poza domem
eat up,zjadać
economic,gospodarczy
economy,gospodarka
edge,krawędź
edition,wydanie
editor,redaktor
educate,kształcić
educated,wykształcony
education,Edukacja
effect,efekt
effective,efektywny
effectively,efektywnie
efficient,wydajny
efficiently,wydajnie
effort,wysiłek
e.g.,na przykład
egg,jajko
eight,osiem
eighteen,osiemnaście
eighteenth,osiemnasty
eighth,ósma
eightieth,osiemdziesiąty
eighty,osiemdziesiąt
either,zarówno
elbow,łokieć
elderly,Starsi
elect,elekt
election,wybór
electric,elektryczny
electrical,elektryczny
electricity,Elektryczność
electronic,elektroniczny
elegant,elegancki
element,element
elevator,winda
eleven,jedenaście
eleventh,jedenasty
else,jeszcze
elsewhere,gdzie indziej
email,e-mail
embarrass,zawstydzić
embarrassed,Zakłopotany
embarrassing,żenujący
embarrassment,zakłopotanie
emerge,pojawić się
emergency,nagły wypadek
emotion,emocja
emotional,emocjonalny
emotionally,emocjonalnie
emphasis,nacisk
emphasize,podkreślać
empire,imperium
employ,zatrudniać
employee,pracownik
employer,pracodawca
employment,zatrudnienie
empty,pusty
enable,włączyć
encounter,spotkanie
encourage,zachęcać
encouragement,zachęta
end,koniec
end in,kończy się
ending,kończący się
end up,skończyć się
enemy,wróg
energy,energia
engage,angażować
engaged,zaręczony
engine,silnik
engineer,inżynier
engineering,Inżynieria
enjoy,cieszyć się
enjoyable,przyjemny
enjoyment,przyjemność
enormous,ogromny
enough,dość
enquiry,zapytanie ofertowe
ensure,zapewnić
enter,wchodzić
entertain,bawić
entertainer,komik
entertaining,zabawny
entertainment,zabawa
enthusiasm,entuzjazm
enthusiastic,entuzjastyczny
enthusiastically,entuzjastycznie
entire,Cały
entirely,całkowicie
entitle,upoważniać
entrance,wejście
entry,wejście
envelope,koperta
environment,środowisko
environmental,środowiskowy
equal,równy
equally,na równi
equipment,ekwipunek
equivalent,odpowiednik
error,błąd
escape,ucieczka
especially,w szczególności
essay,Praca pisemna
essential,kluczowy
essentially,głównie
establish,ustalić
estate,osiedle
estimate,oszacowanie
etc.,itp.
euro,euro
even,parzysty
evening,wieczór
event,zdarzenie
eventually,ostatecznie
ever,zawsze
every,każdy
everybody,wszyscy
everyone,każdy
everything,wszystko
everywhere,wszędzie
evidence,dowód
evil,zło
ex-,dawny-
exact,dokładny
exactly,dokładnie
exaggerate,wyolbrzymiać
exaggerated,przesadny
exam,egzamin
examination,badanie
examine,zbadać
example,przykład
excellent,doskonały
except,z wyjątkiem
exception,wyjątek
exchange,Wymieniać się
excite,podniecać
excited,podekscytowany
excitement,podniecenie
exciting,ekscytujący
exclude,wykluczać
excluding,z pominięciem
excuse,pretekst
executive,wykonawczy
exercise,ćwiczenie
exhibit,eksponować
exhibition,wystawa
exist,istnieć
existence,istnienie
exit,wyjście
expand,rozszerzać
expect,oczekiwać
expectation,oczekiwanie
expected,spodziewany
expense,koszt
expensive,kosztowny
experience,doświadczenie
experienced,doświadczony
experiment,eksperyment
expert,ekspert
explain,wyjaśnić
explanation,wyjaśnienie
explode,eksplodować
explore,badać
explosion,wybuch
export,eksport
expose,expose
express,wyrazić
expression,wyrażenie
extend,poszerzać
extension,rozbudowa
extensive,rozległy
extent,stopień
extra,dodatkowy
extraordinary,niezwykły
extreme,skrajny
extremely,niezwykle
eye,oko
face,Twarz
face up to,zmierzyć się z
facility,obiekt
fact,fakt
factor,czynnik
factory,fabryka
fail,zawieść
failure,niepowodzenie
faint,słaby
faintly,słabo
fair,targi
fairly,dość
faith,wiara
faithful,wierny
faithfully,wiernie
fall,spadek
FALSE,FAŁSZYWY
fame,sława
familiar,znajomy
family,rodzina
famous,sławny
fan,wentylator
fancy,fantazyjny
far,daleko
farm,gospodarstwo rolne
farmer,rolnik
farming,rolnictwo
farther,dalej
farthest,najdalej
fashion,moda
fashionable,modny
fast,szybki
fasten,przymocować
fat,tłuszcz
father,ojciec
faucet,kran
fault,wina
favour,przysługa
favourite,ulubiony
fear,strach
feather,pióro
feature,funkcja
February,luty
federal,federalny
fee,opłata
feed,karmić
feel,czuć
feeling,uczucie
fellow,facet
female,Płeć żeńska
fence,płot
festival,festiwal
fetch,sprowadzać
fever,gorączka
few,mało
field,pole
fifteen,piętnaście
fifteenth,piętnasty
fifth,piąty
fiftieth,pięćdziesiąty
fifty,pięćdziesiąt
fight,walka
fighting,walczący
figure,postać
figure out,rozwiązać
file,plik
fill,napełnić
fill in,wypełnić
fill out,wypełniać
fill up,wypełnić
film,film
final,finał
finally,Wreszcie
finance,finanse
financial,budżetowy
find,odnaleźć
find out,dowiedzieć się
fine,w porządku
finely,delikatnie
finger,palec
finish,koniec
finished,skończone
finish off,dobić
fire,ogień
firm,firma
firmly,mocno
first,pierwszy
fish,ryba
fishing,Wędkarstwo
fit,dopasowanie
fit in,pasować
five,pięć
fix,naprawić
fixed,naprawiony
flag,flaga
flame,płomień
flash,Lampa błyskowa
flat,mieszkanie
flavour,smak
flesh,ciało
flight,lot
float,pływak
flood,powódź
flooded,zalane
flooding,powódź
floor,piętro
flour,mąka
flow,pływ
flower,kwiat
flu,grypa
fly,latać
flying,latający
focus,skupiać
fold,zagięcie
folding,składanie
follow,podążać
following,następujący
follow up,zagryźć
food,jedzenie
foot,stopa
football,piłka nożna
for,dla
force,siła
forecast,prognoza
foreign,obcy
forest,las
forever,na zawsze
forget,zapomnieć
forgive,Wybacz
fork,widelec
form,Formularz
formal,formalny
formally,formalnie
former,były
formerly,dawniej
formula,formuła
fortieth,czterdziesty
fortune,fortuna
forty,czterdzieści
forward,Naprzód
found,znaleziony
foundation,Fundacja
four,cztery
fourteen,czternaście
fourteenth,czternasty
fourth,czwarty
frame,rama
free,darmowy
freedom,wolność
freely,swobodnie
freeze,zamrażać
frequent,częsty
frequently,często
fresh,świeży
freshly,świeżo
Friday,piątek
fridge,lodówka
friend,przyjaciel
friendly,przyjazny
friendship,przyjaźń
frighten,przestraszyć
frighten away/off,odstraszyć / off
frightened,przerażony
frightening,przerażający
from,od
front,z przodu
frozen,mrożony
fruit,owoc
fry,smażyć
fuel,paliwo
full,pełny
fully,całkowicie
fun,zabawa
function,funkcjonować
function as,funkcja jako
fund,fundusz
fundamental,fundamentalny
funeral,pogrzeb
funny,zabawny
fur,futro
furniture,meble
further,dalej
future,przyszłość
gain,zdobyć
gallon,galon
gamble,hazard
gambling,hazard
game,gra
gap,luka
garage,garaż
garbage,Śmieci
garden,ogród
gas,gaz
gasoline,benzyna
gate,brama
gather,zbierać
gear,koło zębate
general,generał
generally,ogólnie
generate,Generować
generation,Pokolenie
generous,hojny
generously,hojnie
gentle,delikatny
gentleman,pan
gently,łagodnie
genuine,prawdziwy
genuinely,prawdziwie
geography,geografia
get,otrzymać
get away,uciec
get away with,uciec z
get back,cofnąć się
get by,dawać sobie radę finansowo
get in,wchodzić
get into,wejść w
get off,zejść
get on,wsiadać
get on with,Wsiadaj
get out of,wydostać się z
get over,przeboleć
get round,rozchodzić się
get round to,Zawróć do
get through,przedostać się przez
get up,Wstań
giant,ogromny
gift,prezent
girl,dziewczyna
girlfriend,dziewczyna
give,dać
give away,rozdać
give back,oddać
give in,poddać się
give off,wydzielać
give out,wydać
give up,poddać się
glad,zadowolony
glass,szkło
global,światowy
glove,rękawica
glue,klej
go,udać się
go ahead,śmiało
goal,cel
go away,Idź stąd
go back,Wróć
go back to,Wróć do
go by,mijać
god,Bóg
go down,spadać
go into,wejść do
gold,złoto
good,dobry
goodbye,do widzenia
goods,dobra
go off,wyruszać
go on,trwać
go on doing,iść na robienie
go out,wychodzić
go out with,wyjść z
go over,przejrzeć
go round,chodzić w kółko
go through,iść przez
go through with,przejść z
go to,iść do
go up,wchodzić
govern,rządzić
government,rząd
governor,gubernator
go with,iść z
go without,iść bez
grab,chwycić
grade,stopień
gradual,stopniowy
gradually,stopniowo
grain,ziarno
gram,gram
grammar,gramatyka
grand,wielki
grandchild,wnuczka
granddaughter,wnuczka
grandfather,Dziadek
grandmother,babcia
grandparent,dziadek
grandson,wnuk
grant,dotacja
grass,trawa
grateful,wdzięczny
grave,grób
gravely,uroczyście
great,świetny
greatly,bardzo
green,Zielony
grey,szary
grocery,sklep spożywczy
ground,ziemia
group,Grupa
grow,rosnąć
growth,wzrost
grow up,dorastać
guarantee,gwarancja
guard,strzec
guess,odgadnąć
guest,Gość
guide,przewodnik
guilty,winny
gun,pistolet
guy,chłopak
habit,nawyk
hair,włosy
hairdresser,fryzjer
half,pół
hall,sala
hammer,młotek
hand,dłoń
hand back,ręka z powrotem
hand down,ogłosić
hand in,doręczać
handle,uchwyt
hand out,materiały informacyjne
hand over,przekazać
hand round,okrągłe pismo
hang,powiesić
hang about,obijać się
hang about with,Hang oz
hang around,obijać się
hang around with,obijać się
hang on,wytrzymać
hang on to,powiesić na
hang up,odłożyć słuchawkę
happen,zdarzyć
happen to,stało się
happily,szczęśliwie
happiness,szczęście
happy,szczęśliwy
hard,ciężko
hardly,ledwie
harm,zaszkodzić
harmful,szkodliwy
harmless,nieszkodliwy
hat,kapelusz
hate,nienawidzić
hatred,nienawiść
have,mieć
have back,mieć z powrotem
have on,mają na
have to,musieć
he,on
head,głowa
headache,bół głowy
heal,uzdrowić
health,zdrowie
healthy,zdrowy
hear,słyszeć
hear from,usłyszeć od
hearing,przesłuchanie
hear of,słyszeć
heart,serce
heat,ciepło
heating,ogrzewanie
heat up,podgrzać
heaven,niebo
heavily,ciężko
heavy,ciężki
heel,obcas
height,wysokość
hell,piekło
hello,Witaj
help,Wsparcie
helpful,pomocny
help out,wydźwignąć
hence,W związku z tym
her,jej
here,tutaj
hero,bohater
